ATIVO;DESC ATIVO;COMPONENTE;PROJETO;MDO;CODIGO;DESC CODIGO;FATOR I;FATOR R;FILTRO
C2;CONECTOR CUNHA 2 AWG PARA 2 AWG;CC2-2;RONDONIA;MATERIAL;90488;CARTUCHO CONECTOR CUNHA METAL 14,8X5,7X7,0MM VERMELHO;1.0;1.0;
;CONECTOR CUNHA 2 AWG PARA 2 AWG;CC2-2;RONDONIA;MATERIAL;90797;CONECTOR CUNHA ALUM CN-13 6,55-10,11/5,18-8,38MM VRM;1.0;1.0;
;CONECTOR CUNHA 2 C/2/0;CC2-20;RONDONIA;MAO-DE-OBRA;1118;Conexão Tipo com Cunha, por peça.;1.0;1.0;
C202;CONECTOR CUNHA 2 C/2/0;CC2-20;RONDONIA;MATERIAL;90487;CARTUCHO CONECTOR CUNHA METAL 14,8X5,7X7,0MM AZUL;1.0;1.0;
;CONECTOR CUNHA 2 C/2/0;CC2-20;RONDONIA;MATERIAL;90790;CONEC CUNHA PARAL 1/0-1/0AWG;1.0;1.0;
;CONECTOR CUNHA 2/0 C/2/0;CC20-20;RONDONIA;MAO-DE-OBRA;1118;Conexão Tipo com Cunha, por peça.;1.0;1.0;
C20;CONECTOR CUNHA 2/0 C/2/0;CC20-20;RONDONIA;MATERIAL;90487;CARTUCHO CONECTOR CUNHA METAL 14,8X5,7X7,0MM AZUL;1.0;1.0;
;CONECTOR CUNHA 2/0 C/2/0;CC20-20;RONDONIA;MATERIAL;90790;CONECTOR CUNHA ALUM CN-06 9,25-14,53/6,55-14,53MM AZL;1.0;1.0;
;CONECTOR CUNHA 2/0 C/4/0;CC20-40;RONDONIA;MAO-DE-OBRA;1118;Conexão Tipo com Cunha, por peça.;1.0;1.0;
C4020;CONECTOR CUNHA 2/0 C/4/0;CC20-40;RONDONIA;MATERIAL;90487;CARTUCHO CONECTOR CUNHA METAL 14,8X5,7X7,0MM AZUL;1.0;1.0;
;CONECTOR CUNHA 2/0 C/4/0;CC20-40;RONDONIA;MATERIAL;90790;CONECTOR CUNHA ALUM CN-06 9,25-14,53/6,55-14,53MM AZL;1.0;1.0;
;CONECTOR CUNHA 2 AWG PARA 4 AWG;CC4-2;RONDONIA;MAO-DE-OBRA;1118;Conexão Tipo com Cunha, por peça.;1.0;1.0;
C24;CONECTOR CUNHA 2 AWG PARA 4 AWG;CC4-2;RONDONIA;MATERIAL;90488;CARTUCHO CONECTOR CUNHA METAL 14,8X5,7X7,0MM VERMELHO;1.0;1.0;
;CONECTOR CUNHA 2 AWG PARA 4 AWG;CC4-2;RONDONIA;MATERIAL;90797;CONECTOR CUNHA ALUM CN-13 6,55-10,11/5,18-8,38MM VRM;1.0;1.0;
;CONECTOR CUNHA 4-4 E 2-6 C/ CART. PVC;CC4-4;RONDONIA;MAO-DE-OBRA;1118;Conexão Tipo com Cunha, por peça.;1.0;1.0;
C4;CONECTOR CUNHA 4-4 E 2-6 C/ CART. PVC;CC4-4;RONDONIA;MATERIAL;90488;CARTUCHO CONECTOR CUNHA METAL 14,8X5,7X7,0MM VERMELHO;1.0;1.0;
